Time (s),ECT (uS/cm),Temperature (C)
691,337,8.2
692,337,8.2
693,337,8.2
694,337,8.2
695,337,8.2
696,337,8.2
697,336,8.2
698,336,8.2
699,336,8.2
700,336,8.2
701,336,8.2
702,336,8.2
703,336,8.2
704,336,8.2
705,336,8.2
706,336,8.2
707,336,8.2
708,336,8.2
709,335,8.2
710,335,8.3
711,335,8.2
712,335,8.3
713,335,8.2
714,335,8.2
715,335,8.2
716,335,8.2
717,336,8.1
718,336,8.1
719,336,8.1
720,336,8.1
721,336,8.1
722,336,8.1
723,336,8.1
724,336,8.1
725,335,8.1
726,335,8.2
727,335,8.2
728,335,8.2
729,335,8.2
730,336,8.2
731,336,8.1
732,336,8.1
733,336,8.2
734,335,8.2
735,335,8.2
736,335,8.2
737,335,8.2
738,335,8.2
739,335,8.2
740,335,8.2
741,335,8.2
742,335,8.2
743,335,8.2
744,335,8.2
745,335,8.2
746,335,8.2
747,335,8.2
748,335,8.2
749,335,8.2
750,335,8.2
751,335,8.2
752,335,8.2
753,335,8.2
754,335,8.2
755,335,8.2
756,335,8.2
757,335,8.2
758,335,8.2
759,334,8.3
760,334,8.3
761,334,8.2
762,335,8.2
763,335,8.2
764,335,8.2
765,335,8.2
766,334,8.2
